date,title,slug,region,healthcare_focus,it_focus,angle,primary_keyword,secondary_keyword,target_url
2026-08-18,"Rechenzentrum-Modernisierung in der Region Daun: Chancen, Risiken und naechste Schritte fuer Tourismusbetriebe",daun-rechenzentrum-modernisierung-tourismusbetriebe-resilienz-und-krisenvorsorge,Daun,Tourismusbetriebe,Rechenzentrum-Modernisierung,Resilienz und Krisenvorsorge,Technologie Eifel,Breitbandausbau Eifel,/blog/daun-rechenzentrum-modernisierung-tourismusbetriebe-resilienz-und-krisenvorsorge/
2026-08-19,Smart-City-Technologien in Mayen: Standortentwicklung fuer Gesundheitseinrichtungen,mayen-smart-city-technologien-gesundheitseinrichtungen-standortentwicklung,Mayen,Gesundheitseinrichtungen,Smart-City-Technologien,Standortentwicklung,Digitalisierung Eifel,Digitale Infrastruktur Eifel,/blog/mayen-smart-city-technologien-gesundheitseinrichtungen-standortentwicklung/
2026-08-20,Mittelstand und IoT-Sensorik in Blankenheim: 7 konkrete Handlungsfelder,blankenheim-iot-sensorik-mittelstand-personal-und-fachkraefteblick,Blankenheim,Mittelstand,IoT-Sensorik,Personal- und Fachkraefteblick,Innovation Eifel,IT-Standort Eifel,/blog/blankenheim-iot-sensorik-mittelstand-personal-und-fachkraefteblick/
2026-08-21,Glasfaserausbau in Eifelkreis Bitburg-Pruem: Was Energieprojekte jetzt wissen muessen,eifelkreis-bitburg-pruem-glasfaserausbau-energieprojekte-sicherheits-und-datenschutzperspektive,Eifelkreis Bitburg-Pruem,Energieprojekte,Glasfaserausbau,Sicherheits- und Datenschutzperspektive,Technologie Eifel,Smart Region Eifel,/blog/eifelkreis-bitburg-pruem-glasfaserausbau-energieprojekte-sicherheits-und-datenschutzperspektive/
2026-08-22,Industriebetriebe in Mechernich: Leitfaden fuer Cyberabwehr gegen Phishing,mechernich-cyberabwehr-gegen-phishing-industriebetriebe-foerdermittel-und-finanzierung,Mechernich,Industriebetriebe,Cyberabwehr gegen Phishing,Foerdermittel und Finanzierung,Digitalisierung Eifel,Breitbandausbau Eifel,/blog/mechernich-cyberabwehr-gegen-phishing-industriebetriebe-foerdermittel-und-finanzierung/
2026-08-23,"Energie-Monitoring in der Region Nideggen: Chancen, Risiken und naechste Schritte fuer Startups",nideggen-energie-monitoring-startups-kosten-nutzen-betrachtung,Nideggen,Startups,Energie-Monitoring,Kosten-Nutzen-Betrachtung,Innovation Eifel,Digitale Infrastruktur Eifel,/blog/nideggen-energie-monitoring-startups-kosten-nutzen-betrachtung/
2026-08-24,5G- und Campusnetze in Daun: Umsetzungsfahrplan fuer Logistik und Mobilitaet,daun-5g-und-campusnetze-logistik-und-mobilitaet-umsetzungsfahrplan,Daun,Logistik und Mobilitaet,5G- und Campusnetze,Umsetzungsfahrplan,Technologie Eifel,IT-Standort Eifel,/blog/daun-5g-und-campusnetze-logistik-und-mobilitaet-umsetzungsfahrplan/
2026-08-25,Buergerinitiativen und Datenschutz nach DSGVO in Mayen: 7 konkrete Handlungsfelder,mayen-datenschutz-nach-dsgvo-buergerinitiativen-praxischeck,Mayen,Buergerinitiativen,Datenschutz nach DSGVO,Praxischeck,Digitalisierung Eifel,Smart Region Eifel,/blog/mayen-datenschutz-nach-dsgvo-buergerinitiativen-praxischeck/
2026-08-26,Telemedizinische Infrastruktur in Blankenheim: Was Handwerksbetriebe jetzt wissen muessen,blankenheim-telemedizinische-infrastruktur-handwerksbetriebe-praxischeck,Blankenheim,Handwerksbetriebe,Telemedizinische Infrastruktur,Praxischeck,Innovation Eifel,Breitbandausbau Eifel,/blog/blankenheim-telemedizinische-infrastruktur-handwerksbetriebe-praxischeck/
2026-08-27,Technologie-Update Euskirchen: IT-Sicherheit und Incident Response im Praxischeck fuer Vereine und Ehrenamt,euskirchen-it-sicherheit-und-incident-response-vereine-und-ehrenamt-betriebsorganisation,Euskirchen,Vereine und Ehrenamt,IT-Sicherheit und Incident Response,Betriebsorganisation,Technologie Eifel,Digitale Infrastruktur Eifel,/blog/euskirchen-it-sicherheit-und-incident-response-vereine-und-ehrenamt-betriebsorganisation/
2026-08-28,Monschau im Fokus: Wie Kommunen mit digitale Verwaltungsprozesse resilienter werden,monschau-digitale-verwaltungsprozesse-kommunen-datenstrategie,Monschau,Kommunen,digitale Verwaltungsprozesse,Datenstrategie,Digitalisierung Eifel,IT-Standort Eifel,/blog/monschau-digitale-verwaltungsprozesse-kommunen-datenstrategie/
2026-08-29,Pruem: Einstieg von Tourismusbetriebe in Low-Code-Automatisierung,pruem-low-code-automatisierung-tourismusbetriebe-kooperationsmodelle,Pruem,Tourismusbetriebe,Low-Code-Automatisierung,Kooperationsmodelle,Innovation Eifel,Smart Region Eifel,/blog/pruem-low-code-automatisierung-tourismusbetriebe-kooperationsmodelle/
2026-08-30,Standortfaktor Gerolstein: Warum KI-Anwendungen im Alltag fuer Gesundheitseinrichtungen strategisch ist,gerolstein-ki-anwendungen-im-alltag-gesundheitseinrichtungen-nachhaltigkeit,Gerolstein,Gesundheitseinrichtungen,KI-Anwendungen im Alltag,Nachhaltigkeit,Technologie Eifel,Breitbandausbau Eifel,/blog/gerolstein-ki-anwendungen-im-alltag-gesundheitseinrichtungen-nachhaltigkeit/
2026-08-31,Kall: digitale Bildung als Hebel fuer Mittelstand,kall-digitale-bildung-mittelstand-resilienz-und-krisenvorsorge,Kall,Mittelstand,digitale Bildung,Resilienz und Krisenvorsorge,Digitalisierung Eifel,Digitale Infrastruktur Eifel,/blog/kall-digitale-bildung-mittelstand-resilienz-und-krisenvorsorge/
2026-09-01,Technologie-Update Heimbach: E-Government-Schnittstellen im Praxischeck fuer Energieprojekte,heimbach-e-government-schnittstellen-energieprojekte-standortentwicklung,Heimbach,Energieprojekte,E-Government-Schnittstellen,Standortentwicklung,Innovation Eifel,IT-Standort Eifel,/blog/heimbach-e-government-schnittstellen-energieprojekte-standortentwicklung/
2026-09-02,Euskirchen im Fokus: Wie Industriebetriebe mit Open-Data-Initiativen resilienter werden,euskirchen-open-data-initiativen-industriebetriebe-personal-und-fachkraefteblick,Euskirchen,Industriebetriebe,Open-Data-Initiativen,Personal- und Fachkraefteblick,Technologie Eifel,Smart Region Eifel,/blog/euskirchen-open-data-initiativen-industriebetriebe-personal-und-fachkraefteblick/
2026-09-03,Monschau: Einstieg von Startups in digitale Zwillinge,monschau-digitale-zwillinge-startups-sicherheits-und-datenschutzperspektive,Monschau,Startups,digitale Zwillinge,Sicherheits- und Datenschutzperspektive,Digitalisierung Eifel,Breitbandausbau Eifel,/blog/monschau-digitale-zwillinge-startups-sicherheits-und-datenschutzperspektive/
2026-09-04,Standortfaktor Pruem: Warum Rechenzentrum-Modernisierung fuer Logistik und Mobilitaet strategisch ist,pruem-rechenzentrum-modernisierung-logistik-und-mobilitaet-foerdermittel-und-finanzierung,Pruem,Logistik und Mobilitaet,Rechenzentrum-Modernisierung,Foerdermittel und Finanzierung,Innovation Eifel,Digitale Infrastruktur Eifel,/blog/pruem-rechenzentrum-modernisierung-logistik-und-mobilitaet-foerdermittel-und-finanzierung/
2026-09-05,Buergerinitiativen in Gerolstein: Leitfaden fuer Smart-City-Technologien,gerolstein-smart-city-technologien-buergerinitiativen-kosten-nutzen-betrachtung,Gerolstein,Buergerinitiativen,Smart-City-Technologien,Kosten-Nutzen-Betrachtung,Technologie Eifel,IT-Standort Eifel,/blog/gerolstein-smart-city-technologien-buergerinitiativen-kosten-nutzen-betrachtung/
2026-09-06,"IoT-Sensorik in der Region Kall: Chancen, Risiken und naechste Schritte fuer Handwerksbetriebe",kall-iot-sensorik-handwerksbetriebe-umsetzungsfahrplan,Kall,Handwerksbetriebe,IoT-Sensorik,Umsetzungsfahrplan,Digitalisierung Eifel,Smart Region Eifel,/blog/kall-iot-sensorik-handwerksbetriebe-umsetzungsfahrplan/
2026-09-07,Glasfaserausbau in Heimbach: Praxischeck fuer Vereine und Ehrenamt,heimbach-glasfaserausbau-vereine-und-ehrenamt-praxischeck,Heimbach,Vereine und Ehrenamt,Glasfaserausbau,Praxischeck,Innovation Eifel,Breitbandausbau Eifel,/blog/heimbach-glasfaserausbau-vereine-und-ehrenamt-praxischeck/
2026-09-08,Kommunen und Cyberabwehr gegen Phishing in Euskirchen: 7 konkrete Handlungsfelder,euskirchen-cyberabwehr-gegen-phishing-kommunen-betriebsorganisation,Euskirchen,Kommunen,Cyberabwehr gegen Phishing,Betriebsorganisation,Technologie Eifel,Digitale Infrastruktur Eifel,/blog/euskirchen-cyberabwehr-gegen-phishing-kommunen-betriebsorganisation/
2026-09-09,Energie-Monitoring in Monschau: Was Tourismusbetriebe jetzt wissen muessen,monschau-energie-monitoring-tourismusbetriebe-datenstrategie,Monschau,Tourismusbetriebe,Energie-Monitoring,Datenstrategie,Digitalisierung Eifel,IT-Standort Eifel,/blog/monschau-energie-monitoring-tourismusbetriebe-datenstrategie/
2026-09-10,Gesundheitseinrichtungen in Pruem: Leitfaden fuer 5G- und Campusnetze,pruem-5g-und-campusnetze-gesundheitseinrichtungen-kooperationsmodelle,Pruem,Gesundheitseinrichtungen,5G- und Campusnetze,Kooperationsmodelle,Innovation Eifel,Smart Region Eifel,/blog/pruem-5g-und-campusnetze-gesundheitseinrichtungen-kooperationsmodelle/
2026-09-11,"Datenschutz nach DSGVO in der Region Gerolstein: Chancen, Risiken und naechste Schritte fuer Mittelstand",gerolstein-datenschutz-nach-dsgvo-mittelstand-nachhaltigkeit,Gerolstein,Mittelstand,Datenschutz nach DSGVO,Nachhaltigkeit,Technologie Eifel,Breitbandausbau Eifel,/blog/gerolstein-datenschutz-nach-dsgvo-mittelstand-nachhaltigkeit/
2026-09-12,Low-Code-Automatisierung in Kall: Resilienz und Krisenvorsorge fuer Energieprojekte,kall-low-code-automatisierung-energieprojekte-resilienz-und-krisenvorsorge,Kall,Energieprojekte,Low-Code-Automatisierung,Resilienz und Krisenvorsorge,Digitalisierung Eifel,Digitale Infrastruktur Eifel,/blog/kall-low-code-automatisierung-energieprojekte-resilienz-und-krisenvorsorge/
2026-09-13,Industriebetriebe und Cloud-Migration in Vulkaneifel: 7 konkrete Handlungsfelder,vulkaneifel-cloud-migration-industriebetriebe-standortentwicklung,Vulkaneifel,Industriebetriebe,Cloud-Migration,Standortentwicklung,Innovation Eifel,IT-Standort Eifel,/blog/vulkaneifel-cloud-migration-industriebetriebe-standortentwicklung/
2026-09-14,Bad Muenstereifel: Standortvernetzung als Hebel fuer Startups,bad-muenstereifel-standortvernetzung-startups-standortentwicklung,Bad Muenstereifel,Startups,Standortvernetzung,Standortentwicklung,Technologie Eifel,Smart Region Eifel,/blog/bad-muenstereifel-standortvernetzung-startups-standortentwicklung/
2026-09-15,Technologie-Update Schleiden: Geo- und Umweltdaten im Praxischeck fuer Logistik und Mobilitaet,schleiden-geo-und-umweltdaten-logistik-und-mobilitaet-personal-und-fachkraefteblick,Schleiden,Logistik und Mobilitaet,Geo- und Umweltdaten,Personal- und Fachkraefteblick,Digitalisierung Eifel,Breitbandausbau Eifel,/blog/schleiden-geo-und-umweltdaten-logistik-und-mobilitaet-personal-und-fachkraefteblick/
2026-09-16,Bitburg im Fokus: Wie Buergerinitiativen mit KI-Anwendungen im Alltag resilienter werden,bitburg-ki-anwendungen-im-alltag-buergerinitiativen-sicherheits-und-datenschutzperspektive,Bitburg,Buergerinitiativen,KI-Anwendungen im Alltag,Sicherheits- und Datenschutzperspektive,Innovation Eifel,Digitale Infrastruktur Eifel,/blog/bitburg-ki-anwendungen-im-alltag-buergerinitiativen-sicherheits-und-datenschutzperspektive/
2026-09-17,Adenau: Einstieg von Handwerksbetriebe in digitale Bildung,adenau-digitale-bildung-handwerksbetriebe-foerdermittel-und-finanzierung,Adenau,Handwerksbetriebe,digitale Bildung,Foerdermittel und Finanzierung,Technologie Eifel,IT-Standort Eifel,/blog/adenau-digitale-bildung-handwerksbetriebe-foerdermittel-und-finanzierung/
2026-09-18,Standortfaktor Nettersheim: Warum E-Government-Schnittstellen fuer Vereine und Ehrenamt strategisch ist,nettersheim-e-government-schnittstellen-vereine-und-ehrenamt-kosten-nutzen-betrachtung,Nettersheim,Vereine und Ehrenamt,E-Government-Schnittstellen,Kosten-Nutzen-Betrachtung,Digitalisierung Eifel,Smart Region Eifel,/blog/nettersheim-e-government-schnittstellen-vereine-und-ehrenamt-kosten-nutzen-betrachtung/
2026-09-19,Vulkaneifel: Open-Data-Initiativen als Hebel fuer Kommunen,vulkaneifel-open-data-initiativen-kommunen-umsetzungsfahrplan,Vulkaneifel,Kommunen,Open-Data-Initiativen,Umsetzungsfahrplan,Innovation Eifel,Breitbandausbau Eifel,/blog/vulkaneifel-open-data-initiativen-kommunen-umsetzungsfahrplan/
2026-09-20,Technologie-Update Bad Muenstereifel: digitale Zwillinge im Praxischeck fuer Tourismusbetriebe,bad-muenstereifel-digitale-zwillinge-tourismusbetriebe-praxischeck,Bad Muenstereifel,Tourismusbetriebe,digitale Zwillinge,Praxischeck,Technologie Eifel,Digitale Infrastruktur Eifel,/blog/bad-muenstereifel-digitale-zwillinge-tourismusbetriebe-praxischeck/
2026-09-21,Schleiden im Fokus: Wie Gesundheitseinrichtungen mit Rechenzentrum-Modernisierung resilienter werden,schleiden-rechenzentrum-modernisierung-gesundheitseinrichtungen-betriebsorganisation,Schleiden,Gesundheitseinrichtungen,Rechenzentrum-Modernisierung,Betriebsorganisation,Digitalisierung Eifel,IT-Standort Eifel,/blog/schleiden-rechenzentrum-modernisierung-gesundheitseinrichtungen-betriebsorganisation/
2026-09-22,Bitburg: Einstieg von Mittelstand in Smart-City-Technologien,bitburg-smart-city-technologien-mittelstand-datenstrategie,Bitburg,Mittelstand,Smart-City-Technologien,Datenstrategie,Innovation Eifel,Smart Region Eifel,/blog/bitburg-smart-city-technologien-mittelstand-datenstrategie/
2026-09-23,IoT-Sensorik in Adenau: Was Energieprojekte jetzt wissen muessen,adenau-iot-sensorik-energieprojekte-kooperationsmodelle,Adenau,Energieprojekte,IoT-Sensorik,Kooperationsmodelle,Technologie Eifel,Breitbandausbau Eifel,/blog/adenau-iot-sensorik-energieprojekte-kooperationsmodelle/
2026-09-24,Industriebetriebe in Nettersheim: Leitfaden fuer Glasfaserausbau,nettersheim-glasfaserausbau-industriebetriebe-nachhaltigkeit,Nettersheim,Industriebetriebe,Glasfaserausbau,Nachhaltigkeit,Digitalisierung Eifel,Digitale Infrastruktur Eifel,/blog/nettersheim-glasfaserausbau-industriebetriebe-nachhaltigkeit/
2026-09-25,"Datenschutz nach DSGVO in der Region Vulkaneifel: Chancen, Risiken und naechste Schritte fuer Startups",vulkaneifel-datenschutz-nach-dsgvo-startups-resilienz-und-krisenvorsorge,Vulkaneifel,Startups,Datenschutz nach DSGVO,Resilienz und Krisenvorsorge,Innovation Eifel,IT-Standort Eifel,/blog/vulkaneifel-datenschutz-nach-dsgvo-startups-resilienz-und-krisenvorsorge/
2026-09-26,Telemedizinische Infrastruktur in Bad Muenstereifel: Standortentwicklung fuer Logistik und Mobilitaet,bad-muenstereifel-telemedizinische-infrastruktur-logistik-und-mobilitaet-standortentwicklung,Bad Muenstereifel,Logistik und Mobilitaet,Telemedizinische Infrastruktur,Standortentwicklung,Technologie Eifel,Smart Region Eifel,/blog/bad-muenstereifel-telemedizinische-infrastruktur-logistik-und-mobilitaet-standortentwicklung/
2026-09-27,Buergerinitiativen und IT-Sicherheit und Incident Response in Schleiden: 7 konkrete Handlungsfelder,schleiden-it-sicherheit-und-incident-response-buergerinitiativen-personal-und-fachkraefteblick,Schleiden,Buergerinitiativen,IT-Sicherheit und Incident Response,Personal- und Fachkraefteblick,Digitalisierung Eifel,Breitbandausbau Eifel,/blog/schleiden-it-sicherheit-und-incident-response-buergerinitiativen-personal-und-fachkraefteblick/
2026-09-28,Digitale Verwaltungsprozesse in Bitburg: Was Handwerksbetriebe jetzt wissen muessen,bitburg-digitale-verwaltungsprozesse-handwerksbetriebe-sicherheits-und-datenschutzperspektive,Bitburg,Handwerksbetriebe,digitale Verwaltungsprozesse,Sicherheits- und Datenschutzperspektive,Innovation Eifel,Digitale Infrastruktur Eifel,/blog/bitburg-digitale-verwaltungsprozesse-handwerksbetriebe-sicherheits-und-datenschutzperspektive/
2026-09-29,Vereine und Ehrenamt in Adenau: Leitfaden fuer Low-Code-Automatisierung,adenau-low-code-automatisierung-vereine-und-ehrenamt-foerdermittel-und-finanzierung,Adenau,Vereine und Ehrenamt,Low-Code-Automatisierung,Foerdermittel und Finanzierung,Technologie Eifel,IT-Standort Eifel,/blog/adenau-low-code-automatisierung-vereine-und-ehrenamt-foerdermittel-und-finanzierung/
2026-09-30,"Cloud-Migration in der Region Blankenheim: Chancen, Risiken und naechste Schritte fuer Kommunen",blankenheim-cloud-migration-kommunen-kosten-nutzen-betrachtung,Blankenheim,Kommunen,Cloud-Migration,Kosten-Nutzen-Betrachtung,Digitalisierung Eifel,Smart Region Eifel,/blog/blankenheim-cloud-migration-kommunen-kosten-nutzen-betrachtung/
2026-10-01,Standortvernetzung in Eifelkreis Bitburg-Pruem: Umsetzungsfahrplan fuer Tourismusbetriebe,eifelkreis-bitburg-pruem-standortvernetzung-tourismusbetriebe-umsetzungsfahrplan,Eifelkreis Bitburg-Pruem,Tourismusbetriebe,Standortvernetzung,Umsetzungsfahrplan,Innovation Eifel,Breitbandausbau Eifel,/blog/eifelkreis-bitburg-pruem-standortvernetzung-tourismusbetriebe-umsetzungsfahrplan/
2026-10-02,Standortfaktor Mechernich: Warum Geo- und Umweltdaten fuer Gesundheitseinrichtungen strategisch ist,mechernich-geo-und-umweltdaten-gesundheitseinrichtungen-praxischeck,Mechernich,Gesundheitseinrichtungen,Geo- und Umweltdaten,Praxischeck,Technologie Eifel,Digitale Infrastruktur Eifel,/blog/mechernich-geo-und-umweltdaten-gesundheitseinrichtungen-praxischeck/
2026-10-03,Nideggen: KI-Anwendungen im Alltag als Hebel fuer Mittelstand,nideggen-ki-anwendungen-im-alltag-mittelstand-praxischeck,Nideggen,Mittelstand,KI-Anwendungen im Alltag,Praxischeck,Digitalisierung Eifel,IT-Standort Eifel,/blog/nideggen-ki-anwendungen-im-alltag-mittelstand-praxischeck/
2026-10-04,Technologie-Update Daun: digitale Bildung im Praxischeck fuer Energieprojekte,daun-digitale-bildung-energieprojekte-betriebsorganisation,Daun,Energieprojekte,digitale Bildung,Betriebsorganisation,Innovation Eifel,Smart Region Eifel,/blog/daun-digitale-bildung-energieprojekte-betriebsorganisation/
2026-10-05,Mayen im Fokus: Wie Industriebetriebe mit E-Government-Schnittstellen resilienter werden,mayen-e-government-schnittstellen-industriebetriebe-datenstrategie,Mayen,Industriebetriebe,E-Government-Schnittstellen,Datenstrategie,Technologie Eifel,Breitbandausbau Eifel,/blog/mayen-e-government-schnittstellen-industriebetriebe-datenstrategie/
2026-10-06,Blankenheim: Einstieg von Startups in Open-Data-Initiativen,blankenheim-open-data-initiativen-startups-kooperationsmodelle,Blankenheim,Startups,Open-Data-Initiativen,Kooperationsmodelle,Digitalisierung Eifel,Digitale Infrastruktur Eifel,/blog/blankenheim-open-data-initiativen-startups-kooperationsmodelle/
2026-10-07,Standortfaktor Eifelkreis Bitburg-Pruem: Warum digitale Zwillinge fuer Logistik und Mobilitaet strategisch ist,eifelkreis-bitburg-pruem-digitale-zwillinge-logistik-und-mobilitaet-nachhaltigkeit,Eifelkreis Bitburg-Pruem,Logistik und Mobilitaet,digitale Zwillinge,Nachhaltigkeit,Innovation Eifel,IT-Standort Eifel,/blog/eifelkreis-bitburg-pruem-digitale-zwillinge-logistik-und-mobilitaet-nachhaltigkeit/
2026-10-08,Mechernich: Glasfaserausbau als Hebel fuer Buergerinitiativen,mechernich-glasfaserausbau-buergerinitiativen-resilienz-und-krisenvorsorge,Mechernich,Buergerinitiativen,Glasfaserausbau,Resilienz und Krisenvorsorge,Technologie Eifel,Smart Region Eifel,/blog/mechernich-glasfaserausbau-buergerinitiativen-resilienz-und-krisenvorsorge/
2026-10-09,Technologie-Update Nideggen: Cyberabwehr gegen Phishing im Praxischeck fuer Handwerksbetriebe,nideggen-cyberabwehr-gegen-phishing-handwerksbetriebe-standortentwicklung,Nideggen,Handwerksbetriebe,Cyberabwehr gegen Phishing,Standortentwicklung,Digitalisierung Eifel,Breitbandausbau Eifel,/blog/nideggen-cyberabwehr-gegen-phishing-handwerksbetriebe-standortentwicklung/
2026-10-10,Daun im Fokus: Wie Vereine und Ehrenamt mit Energie-Monitoring resilienter werden,daun-energie-monitoring-vereine-und-ehrenamt-personal-und-fachkraefteblick,Daun,Vereine und Ehrenamt,Energie-Monitoring,Personal- und Fachkraefteblick,Innovation Eifel,Digitale Infrastruktur Eifel,/blog/daun-energie-monitoring-vereine-und-ehrenamt-personal-und-fachkraefteblick/
2026-10-11,Kommunen und 5G- und Campusnetze in Mayen: 7 konkrete Handlungsfelder,mayen-5g-und-campusnetze-kommunen-sicherheits-und-datenschutzperspektive,Mayen,Kommunen,5G- und Campusnetze,Sicherheits- und Datenschutzperspektive,Technologie Eifel,IT-Standort Eifel,/blog/mayen-5g-und-campusnetze-kommunen-sicherheits-und-datenschutzperspektive/
2026-10-12,Datenschutz nach DSGVO in Blankenheim: Was Tourismusbetriebe jetzt wissen muessen,blankenheim-datenschutz-nach-dsgvo-tourismusbetriebe-foerdermittel-und-finanzierung,Blankenheim,Tourismusbetriebe,Datenschutz nach DSGVO,Foerdermittel und Finanzierung,Digitalisierung Eifel,Smart Region Eifel,/blog/blankenheim-datenschutz-nach-dsgvo-tourismusbetriebe-foerdermittel-und-finanzierung/
2026-10-13,Gesundheitseinrichtungen in Eifelkreis Bitburg-Pruem: Leitfaden fuer Telemedizinische Infrastruktur,eifelkreis-bitburg-pruem-telemedizinische-infrastruktur-gesundheitseinrichtungen-kosten-nutzen-betrachtung,Eifelkreis Bitburg-Pruem,Gesundheitseinrichtungen,Telemedizinische Infrastruktur,Kosten-Nutzen-Betrachtung,Innovation Eifel,Breitbandausbau Eifel,/blog/eifelkreis-bitburg-pruem-telemedizinische-infrastruktur-gesundheitseinrichtungen-kosten-nutzen-betrachtung/
2026-10-14,"IT-Sicherheit und Incident Response in der Region Mechernich: Chancen, Risiken und naechste Schritte fuer Mittelstand",mechernich-it-sicherheit-und-incident-response-mittelstand-umsetzungsfahrplan,Mechernich,Mittelstand,IT-Sicherheit und Incident Response,Umsetzungsfahrplan,Technologie Eifel,Digitale Infrastruktur Eifel,/blog/mechernich-it-sicherheit-und-incident-response-mittelstand-umsetzungsfahrplan/
2026-10-15,Digitale Verwaltungsprozesse in Nideggen: Praxischeck fuer Energieprojekte,nideggen-digitale-verwaltungsprozesse-energieprojekte-praxischeck,Nideggen,Energieprojekte,digitale Verwaltungsprozesse,Praxischeck,Digitalisierung Eifel,IT-Standort Eifel,/blog/nideggen-digitale-verwaltungsprozesse-energieprojekte-praxischeck/
2026-10-16,Industriebetriebe und Low-Code-Automatisierung in Daun: 7 konkrete Handlungsfelder,daun-low-code-automatisierung-industriebetriebe-betriebsorganisation,Daun,Industriebetriebe,Low-Code-Automatisierung,Betriebsorganisation,Innovation Eifel,Smart Region Eifel,/blog/daun-low-code-automatisierung-industriebetriebe-betriebsorganisation/
2026-10-17,Cloud-Migration in Kall: Was Startups jetzt wissen muessen,kall-cloud-migration-startups-datenstrategie,Kall,Startups,Cloud-Migration,Datenstrategie,Technologie Eifel,Breitbandausbau Eifel,/blog/kall-cloud-migration-startups-datenstrategie/
2026-10-18,Logistik und Mobilitaet in Heimbach: Leitfaden fuer Standortvernetzung,heimbach-standortvernetzung-logistik-und-mobilitaet-kooperationsmodelle,Heimbach,Logistik und Mobilitaet,Standortvernetzung,Kooperationsmodelle,Digitalisierung Eifel,Digitale Infrastruktur Eifel,/blog/heimbach-standortvernetzung-logistik-und-mobilitaet-kooperationsmodelle/
2026-10-19,"Geo- und Umweltdaten in der Region Euskirchen: Chancen, Risiken und naechste Schritte fuer Buergerinitiativen",euskirchen-geo-und-umweltdaten-buergerinitiativen-nachhaltigkeit,Euskirchen,Buergerinitiativen,Geo- und Umweltdaten,Nachhaltigkeit,Innovation Eifel,IT-Standort Eifel,/blog/euskirchen-geo-und-umweltdaten-buergerinitiativen-nachhaltigkeit/
2026-10-20,Monschau: Einstieg von Handwerksbetriebe in KI-Anwendungen im Alltag,monschau-ki-anwendungen-im-alltag-handwerksbetriebe-resilienz-und-krisenvorsorge,Monschau,Handwerksbetriebe,KI-Anwendungen im Alltag,Resilienz und Krisenvorsorge,Technologie Eifel,Smart Region Eifel,/blog/monschau-ki-anwendungen-im-alltag-handwerksbetriebe-resilienz-und-krisenvorsorge/
2026-10-21,Standortfaktor Pruem: Warum digitale Zwillinge fuer Vereine und Ehrenamt strategisch ist,pruem-digitale-zwillinge-vereine-und-ehrenamt-standortentwicklung,Pruem,Vereine und Ehrenamt,digitale Zwillinge,Standortentwicklung,Digitalisierung Eifel,Breitbandausbau Eifel,/blog/pruem-digitale-zwillinge-vereine-und-ehrenamt-standortentwicklung/
2026-10-22,Gerolstein: Rechenzentrum-Modernisierung als Hebel fuer Kommunen,gerolstein-rechenzentrum-modernisierung-kommunen-standortentwicklung,Gerolstein,Kommunen,Rechenzentrum-Modernisierung,Standortentwicklung,Innovation Eifel,Digitale Infrastruktur Eifel,/blog/gerolstein-rechenzentrum-modernisierung-kommunen-standortentwicklung/
2026-10-23,Technologie-Update Kall: Smart-City-Technologien im Praxischeck fuer Tourismusbetriebe,kall-smart-city-technologien-tourismusbetriebe-personal-und-fachkraefteblick,Kall,Tourismusbetriebe,Smart-City-Technologien,Personal- und Fachkraefteblick,Technologie Eifel,IT-Standort Eifel,/blog/kall-smart-city-technologien-tourismusbetriebe-personal-und-fachkraefteblick/
2026-10-24,Heimbach im Fokus: Wie Gesundheitseinrichtungen mit IoT-Sensorik resilienter werden,heimbach-iot-sensorik-gesundheitseinrichtungen-sicherheits-und-datenschutzperspektive,Heimbach,Gesundheitseinrichtungen,IoT-Sensorik,Sicherheits- und Datenschutzperspektive,Digitalisierung Eifel,Smart Region Eifel,/blog/heimbach-iot-sensorik-gesundheitseinrichtungen-sicherheits-und-datenschutzperspektive/
2026-10-25,Euskirchen: Einstieg von Mittelstand in Glasfaserausbau,euskirchen-glasfaserausbau-mittelstand-foerdermittel-und-finanzierung,Euskirchen,Mittelstand,Glasfaserausbau,Foerdermittel und Finanzierung,Innovation Eifel,Breitbandausbau Eifel,/blog/euskirchen-glasfaserausbau-mittelstand-foerdermittel-und-finanzierung/
2026-10-26,Standortfaktor Monschau: Warum Cyberabwehr gegen Phishing fuer Energieprojekte strategisch ist,monschau-cyberabwehr-gegen-phishing-energieprojekte-kosten-nutzen-betrachtung,Monschau,Energieprojekte,Cyberabwehr gegen Phishing,Kosten-Nutzen-Betrachtung,Technologie Eifel,Digitale Infrastruktur Eifel,/blog/monschau-cyberabwehr-gegen-phishing-energieprojekte-kosten-nutzen-betrachtung/
2026-10-27,Pruem: Energie-Monitoring als Hebel fuer Industriebetriebe,pruem-energie-monitoring-industriebetriebe-umsetzungsfahrplan,Pruem,Industriebetriebe,Energie-Monitoring,Umsetzungsfahrplan,Digitalisierung Eifel,IT-Standort Eifel,/blog/pruem-energie-monitoring-industriebetriebe-umsetzungsfahrplan/
2026-10-28,Technologie-Update Gerolstein: 5G- und Campusnetze im Praxischeck fuer Startups,gerolstein-5g-und-campusnetze-startups-praxischeck,Gerolstein,Startups,5G- und Campusnetze,Praxischeck,Innovation Eifel,Smart Region Eifel,/blog/gerolstein-5g-und-campusnetze-startups-praxischeck/
